area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;010150;003603;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150003603;01015000360301201;010150003603012011;2713;190,99999016048;201912
1;010150;003603;012;02;1;3;3;1;1;3;1;2;2;1;1;3;2;2;2;2;2;2;2;2;3;3;3;3;010150003603;01015000360301202;010150003603012021;2713;190,99999016048;201912
1;010150;003603;012;03;1;2;2;1;2;3;1;3;1;1;1;3;3;2;2;2;2;2;2;2;3;3;3;3;010150003603;01015000360301203;010150003603012031;2713;190,99999016048;201912
1;010150;003603;012;04;1;3;2;1;1;3;2;2;2;1;1;3;3;2;2;2;2;2;2;2;2;3;2;3;010150003603;01015000360301204;010150003603012041;2713;190,99999016048;201912
1;010150;003603;012;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150003603;01015000360301205;010150003603012051;2713;190,99999016048;201912
1;010150;003603;012;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;010150003603;01015000360301206;010150003603012061;2713;190,99999016048;201912
1;010150;003603;012;07;1;2;3;1;2;3;1;2;1;1;1;3;2;2;3;2;2;2;2;2;2;3;2;3;010150003603;01015000360301207;010150003603012071;2713;190,99999016048;201912
1;010150;003702;006;01;1;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;010150003702;01015000370200601;010150003702006011;2712;60,0076639280204;201912
1;010150;003702;006;02;1;3;3;3;3;3;2;3;2;2;2;2;3;3;2;2;2;2;2;2;2;3;3;3;010150003702;01015000370200602;010150003702006021;2712;60,0076639280204;201912
1;010150;003702;006;03;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150003702;01015000370200603;010150003702006031;2712;60,0076639280204;201912
1;010150;003702;006;04;1;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150003702;01015000370200604;010150003702006041;2712;60,0076639280204;201912
1;010150;003702;006;05;1;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;010150003702;01015000370200605;010150003702006051;2712;60,0076639280204;201912
